,cntr_no,carrier_no,pol,scheduled_pol_etd,pol_atd,pod,scheduled_pod_eta,pod_ata,portcast_predicted_pod_eta,container_pod_actual_discharge,last_container_event,vessel_legs,container_pod_scheduled_discharge
34,HLXU5128995,HLCU,VNVUT,2021-05-19T00:01:00+07:00,,CAVAN,2021-06-20T16:00:00-07:00,,2021-06-24T01:00:00,,Vessel arrival,1.0,2021-06-24T01:00:00
35,TCLU6687504,HLCU,VNVUT,2021-05-25T00:01:00+07:00,,USSAV,2021-06-28T03:00:00-05:00,,2021-07-03T02:00:00,,Vessel arrival,1.0,2021-07-03T02:00:00
36,MAEU9209405,MAEU,CNNGB,2021-05-22T16:18:00+08:00,2021-05-22T16:18:00+08:00,USMOB,2021-06-17T18:00:00-06:00,,2021-06-18T14:37:50.240169-06:00,,Gate out,1.0,2021-06-17T18:00:00
37,UACU8464793,HLCU,VNVUT,2021-05-19T00:01:00+07:00,,CAVAN,2021-06-20T16:00:00-07:00,,2021-06-24T01:00:00,,Vessel arrival,1.0,2021-06-24T01:00:00
38,PONU3048430,MAEU,CNSHG,2021-04-13T00:02:00+08:00,2021-04-13T00:02:00+08:00,USMOB,2021-05-08T05:45:00-06:00,2021-05-08T05:45:00-06:00,,2021-05-07T08:00:00,Gate out,1.0,2021-05-07T08:00:00
39,UACU5287816,HLCU,VNVUT,2021-05-25T00:01:00+07:00,,USSAV,2021-06-28T03:00:00-05:00,,2021-07-03T02:00:00,,Vessel arrival,1.0,2021-07-03T02:00:00
40,MRKU4537413,MAEU,CNNGB,2021-05-22T16:18:00+08:00,2021-05-22T16:18:00+08:00,USMOB,2021-06-17T18:00:00-06:00,,2021-06-18T14:37:50.240169-06:00,,Gate out,1.0,2021-06-17T18:00:00
41,HLBU2832869,HLCU,CNSHG,2021-05-17T03:00:00+08:00,2021-05-19T09:50:20+08:00,CAVAN,2021-06-04T01:00:00-07:00,,2021-06-03T10:43:30.116990-07:00,,Unclassified,1.0,2021-06-02T15:30:00
42,TRHU5969166,COSU,CNSHG,2021-05-11T10:00:00+08:00,2021-05-12T10:39:23+08:00,USSAV,2021-06-10T08:00:00-05:00,,2021-06-12T20:41:21.329586-05:00,,Vessel arrival,1.0,2021-06-13T23:30:00
43,CSNU8124522,COSU,CNNGB,,,USLGB,,,2021-05-25T20:00:00,,Vessel arrival,1.0,2021-05-25T20:00:00
44,CBHU8267124,COSU,CNYTN,2021-05-07T00:00:00+08:00,2021-05-11T01:16:54+08:00,USLAX,2021-05-17T00:00:00-08:00,,2021-05-25T08:08:57.051829-08:00,,Vessel arrival,1.0,2021-05-28T06:00:00
45,CCLU5106527,COSU,CNSHG,2021-05-10T15:00:00+08:00,2021-05-10T16:11:03+08:00,USNYC,2021-06-04T08:00:00-05:00,,2021-06-07T03:43:59.989272-05:00,,Vessel arrival,1.0,2021-06-05T07:00:00
46,OOLU7610297,COSU,CNYTN,2021-05-19T23:00:00+08:00,2021-05-22T17:19:57.560000+08:00,USLAX,,,2021-06-13T05:00:00,,Vessel arrival,1.0,2021-06-13T05:00:00
47,CCLU7387336,COSU,CNYTN,2021-05-19T23:00:00+08:00,2021-05-22T17:19:57.560000+08:00,USLAX,,,2021-06-13T05:00:00,,Vessel arrival,1.0,2021-06-13T05:00:00
48,DFSU4199240,COSU,,,,,,,,,,,
49,TCNU1377015,COSU,CNSHG,2021-05-14T01:00:00+08:00,2021-05-15T09:20:00+08:00,USNYC,2021-06-08T13:00:00-05:00,,2021-06-09T08:03:29.709409-05:00,,Vessel arrival,1.0,2021-06-09T13:00:00
50,OOLU7958981,COSU,CNNGB,,,USLGB,,,2021-05-25T20:00:00,,Vessel arrival,1.0,2021-05-25T20:00:00
51,FSCU5039935,COSU,CNSHG,2021-05-15T10:00:00+08:00,2021-05-17T04:00:05+08:00,USLAX,,,2021-06-13T05:00:00,,Vessel arrival,1.0,2021-06-13T05:00:00
52,CCLU7824903,COSU,CNSHG,2021-05-15T10:00:00+08:00,2021-05-17T04:00:05+08:00,USLAX,,,2021-06-13T05:00:00,,Vessel arrival,1.0,2021-06-13T05:00:00
53,CCLU5256867,COSU,,,,,,,,,,,
54,CSNU8508512,COSU,,,,,,,,,,,
55,SEGU6607808,COSU,CNYTN,2021-05-19T23:00:00+08:00,2021-05-22T17:19:57.560000+08:00,USLAX,,,2021-06-13T05:00:00,,Vessel arrival,1.0,2021-06-13T05:00:00
56,TCNU9985304,CMDU,CNSHG,2021-04-04T02:00:00+08:00,2021-04-03T19:36:00+08:00,USSEA,2021-05-14T15:00:00-07:00,2021-05-19T17:23:55.020000-07:00,,2021-05-19T19:28:00,Unload from vessel,1.0,
57,CMAU8366310,CMDU,CNSHG,,,USLAX,,,2021-06-04T18:00:00,,Unload from vessel,1.0,2021-06-04T18:00:00
58,HLXU9002536,HLCU,CNQDG,,,USVAN,,,2021-06-12T16:30:00,,Unclassified,1.0,2021-06-12T16:30:00
59,ECMU8034848,CMDU,CNSHG,,,USLGB,,,2021-06-03T18:00:00,,Unload from vessel,1.0,2021-06-03T18:00:00
60,CMAU6576512,CMDU,CNDLC,,,USSAV,,,2021-06-20T07:00:00,,Unload from vessel,2.0,2021-06-20T07:00:00
61,HLXU8184267,HLCU,TWKHH,2021-05-11T13:00:00+08:00,2021-05-11T18:54:00+08:00,USORF,2021-06-23T09:30:00-05:00,,2021-06-23T16:17:56.978516-05:00,,Unclassified,1.0,2021-06-25T08:00:00
62,TLLU6067369,ONEY,CNNGB,,,USSAV,2021-06-01T03:00:00-05:00,,2021-06-02T10:35:26.150476-05:00,,Vessel departure,1.0,2021-06-01T09:30:00
63,HLBU2713453,HLCU,CNQDG,,,USVAN,,,2021-06-12T20:00:00,,Empty container pick-up,1.0,2021-06-12T20:00:00
64,OOCU4915716,COSU,CNXMG,2021-05-24T18:00:00+08:00,2021-05-26T23:10:09+08:00,USNYC,2021-06-22T13:00:00-05:00,,2021-06-23T11:36:20.278180-05:00,,Vessel arrival,1.0,2021-06-23T08:00:00
65,CAIU8746404,ONEY,CNYTN,2021-04-12T08:15:00+08:00,2021-04-12T08:15:00+08:00,USNYC,2021-05-23T05:00:00-05:00,2021-05-23T05:00:00-05:00,,2021-05-23T21:29:00,Unload from vessel,1.0,
66,TCNU4377636,ONEY,CNYTN,2021-04-12T08:15:00+08:00,2021-04-12T08:15:00+08:00,USNYC,2021-05-23T05:00:00-05:00,2021-05-23T05:00:00-05:00,,2021-05-24T04:11:00,Unload from vessel,1.0,
67,TCNU6453695,ONEY,VNHPH,2021-05-17T08:00:00+07:00,2021-05-01T14:25:00+07:00,USSAV,2021-07-03T14:00:00-05:00,,2021-07-09T18:55:50.364724-05:00,,Unclassified,2.0,2021-07-03T20:30:00
68,TEMU3425468,ONEY,VNHPH,2021-05-23T21:00:00+07:00,2021-05-23T21:00:00+07:00,USLGB,2021-06-21T05:00:00-08:00,,2021-06-21T14:45:45.394116-08:00,,Vessel departure,2.0,2021-06-21T08:30:00
69,CLHU4661905,HLCU,CNXMG,2021-05-13T22:00:00+08:00,2021-05-14T21:47:28+08:00,USNYC,2021-06-22T09:00:00-05:00,,2021-06-24T21:30:28.977566-05:00,,Unclassified,2.0,2021-06-25T09:00:00
70,TCNU7389625,HLCU,TWKHH,2021-05-11T13:00:00+08:00,2021-05-11T18:54:00+08:00,USORF,2021-06-23T09:30:00-05:00,,2021-06-23T16:17:56.978516-05:00,,Unclassified,1.0,2021-06-25T08:00:00
71,CAIU4141230,ONEY,VNHPH,2021-05-17T08:00:00+07:00,2021-05-01T14:25:00+07:00,USSAV,2021-07-03T14:00:00-05:00,,2021-07-09T18:55:50.364724-05:00,,Unclassified,2.0,2021-07-03T20:30:00
72,NYKU5104706,ONEY,CNYTN,2021-04-12T08:15:00+08:00,2021-04-12T08:15:00+08:00,USNYC,2021-05-23T05:00:00-05:00,2021-05-23T05:00:00-05:00,,2021-05-24T09:16:00,Unload from vessel,1.0,
73,TCLU4551170,ONEY,CNYTN,2021-04-12T08:15:00+08:00,2021-04-12T08:15:00+08:00,USNYC,2021-05-23T05:00:00-05:00,2021-05-23T05:00:00-05:00,,2021-05-24T08:42:00,Unload from vessel,1.0,
74,GESU5154908,ONEY,CNYTN,2021-04-12T08:15:00+08:00,2021-04-12T08:15:00+08:00,USNYC,2021-05-23T05:00:00-05:00,2021-05-23T05:00:00-05:00,,2021-05-23T17:55:00,Unload from vessel,1.0,
75,FFAU3682490,ONEY,CNYTN,2021-04-12T08:15:00+08:00,2021-04-12T08:15:00+08:00,USNYC,2021-05-23T05:00:00-05:00,2021-05-23T05:00:00-05:00,,2021-05-23T16:49:00,Unload from vessel,1.0,
76,KKFU7999261,ONEY,CNNGB,,,USSAV,2021-06-01T03:00:00-05:00,,2021-06-02T10:35:26.150476-05:00,,Vessel departure,1.0,2021-06-01T09:30:00
77,FFAU1421898,ONEY,CNYTN,2021-05-27T17:23:00+08:00,2021-05-31T19:34:13.480000+08:00,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Loaded onto vessel,1.0,2021-06-28T00:30:00
78,TGHU6676509,COSU,,,,,,,,,,,
79,CBHU6333377,COSU,CNSHG,,,USMOB,,,2021-06-26T18:00:00,,Vessel arrival,1.0,2021-06-26T18:00:00
80,CBHU8718038,COSU,CNSHG,,,USMOB,,,2021-06-26T18:00:00,,Vessel arrival,1.0,2021-06-26T18:00:00
81,DRYU4248425,ONEY,MYTPP,,,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Unload from vessel,2.0,2021-06-28T00:30:00
82,TRLU9474749,ONEY,CNNGB,,,USSAV,2021-06-01T03:00:00-05:00,,2021-06-02T10:35:26.150476-05:00,,Vessel departure,1.0,2021-06-01T09:30:00
83,HJMU4948115,CMDU,INNSA,,,USNYC,,,2021-06-23T19:00:00,,Unload from vessel,1.0,2021-06-23T19:00:00
84,TCNU5025012,CMDU,CNSHG,,,USLAX,,,2021-06-04T18:00:00,,Unload from vessel,1.0,2021-06-04T18:00:00
85,TCNU3904795,ONEY,VNCMT,,,USNYC,2021-06-09T18:30:00-05:00,,2021-06-10T12:50:26.565876-05:00,,Vessel departure,2.0,2021-06-10T00:30:00
86,BEAU4618247,ONEY,VNCMT,2021-05-31T08:00:00+07:00,,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Gate in,1.0,2021-06-28T00:30:00
87,TRLU7322388,ONEY,VNCMT,2021-05-12T12:50:00+07:00,2021-05-12T12:50:00+07:00,USNYC,2021-06-09T18:30:00-05:00,,2021-06-10T12:50:26.565876-05:00,,Vessel departure,1.0,2021-06-10T00:30:00
88,MOTU0634340,ONEY,VNCMT,2021-06-02T10:00:00+07:00,,USLGB,2021-06-21T05:00:00-08:00,,2021-06-21T14:45:45.394116-08:00,,Unclassified,1.0,2021-06-21T08:30:00
89,NYKU4762791,ONEY,VNCMT,2021-05-12T12:50:00+07:00,2021-05-12T12:50:00+07:00,USNYC,2021-06-09T18:30:00-05:00,,2021-06-10T12:50:26.565876-05:00,,Vessel departure,1.0,2021-06-10T00:30:00
90,FDCU0372604,ONEY,VNCMT,2021-05-31T08:00:00+07:00,,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Gate in,1.0,2021-06-28T00:30:00
91,DRYU6051034,ONEY,VNCMT,2021-06-02T10:00:00+07:00,,USLGB,2021-06-21T05:00:00-08:00,,2021-06-21T14:45:45.394116-08:00,,Unclassified,1.0,2021-06-21T08:30:00
92,ECMU9475128,CMDU,CNSHG,,,USSAV,,,2021-06-25T07:00:00,,Unload from vessel,1.0,2021-06-25T07:00:00
93,GESU6589356,ONEY,CNSHG,2021-05-22T22:00:00+08:00,2021-05-22T22:00:00+08:00,USLAX,2021-06-06T14:00:00-08:00,,2021-06-06T14:00:00-08:00,,Vessel departure,1.0,2021-06-06T19:30:00
94,KKFU8162006,ONEY,VNCMT,2021-05-31T08:00:00+07:00,,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Gate in,1.0,2021-06-28T00:30:00
95,FDCU0372306,ONEY,VNCMT,2021-05-31T08:00:00+07:00,,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Gate in,1.0,2021-06-28T00:30:00
96,MOTU1424878,ONEY,VNHPH,2021-05-17T08:00:00+07:00,2021-05-01T14:25:00+07:00,USSAV,2021-07-03T14:00:00-05:00,,2021-07-09T18:55:50.364724-05:00,,Unclassified,2.0,2021-07-03T20:30:00
97,TCNU5978890,ONEY,VNCMT,2021-05-30T23:45:00+07:00,2021-05-30T23:45:00+07:00,USLAX,2021-07-04T04:00:00-08:00,,2021-07-04T07:30:00,,Vessel departure,1.0,2021-07-04T07:30:00
98,TCNU4365363,ONEY,VNCMT,2021-05-31T08:00:00+07:00,,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Gate in,1.0,2021-06-28T00:30:00
99,UETU4109619,ONEY,CNQDG,2021-03-28T03:00:00+08:00,2021-03-30T14:07:35.490000+08:00,USSAV,2021-05-19T12:00:00-05:00,2021-05-19T12:00:00-05:00,,2021-05-22T21:08:00,Unload from vessel,1.0,
100,CAIU5822959,ONEY,CNQDG,2021-05-22T07:55:00+08:00,2021-05-22T07:55:00+08:00,USSAV,2021-07-05T14:00:00-05:00,,2021-07-06T02:20:19.179847-05:00,,Vessel departure,1.0,2021-07-05T20:30:00
101,OOLU9280825,OOLU,CNYTN,,,USSEA,,,2021-05-26T07:00:00,,Vessel arrival,1.0,2021-05-26T07:00:00
102,ONEU7020880,ONEY,CNYTN,2021-05-23T15:35:00+08:00,2021-05-23T15:35:00+08:00,USNYC,2021-06-27T18:30:00-05:00,,2021-07-02T22:20:01.578206-05:00,,Unload from vessel,2.0,2021-06-28T00:30:00
103,TCNU9465051,HDMU,CNSHG,,,USNYC,,,2021-07-01T18:00:00,,Vessel arrival,1.0,2021-07-01T18:00:00
104,MOFU5800602,ONEY,VNHPH,2021-05-17T08:00:00+07:00,2021-05-01T14:25:00+07:00,USSAV,2021-07-03T14:00:00-05:00,,2021-07-09T18:55:50.364724-05:00,,Unclassified,2.0,2021-07-03T20:30:00
105,CAIU4260250,HLCU,INMUN,2021-06-03T03:00:00+05:30,,USNYC,2021-06-23T19:00:00-05:00,,2021-06-24T17:25:09.064040-05:00,,Vessel arrival,1.0,2021-06-23T19:00:00
106,TCLU8689189,HLCU,INNSA,2021-05-11T15:00:00+05:30,2021-05-11T18:54:00+05:30,USNYC,2021-06-02T19:00:00-05:00,,2021-05-27T10:32:36.524995-05:00,,Unclassified,1.0,2021-06-04T19:00:00
107,UACU8352411,HLCU,CNNGB,2021-05-13T21:00:00+08:00,2021-05-14T04:00:00+08:00,USNYC,2021-06-17T21:00:00-05:00,,2021-06-16T19:51:38.962618-05:00,,Unclassified,1.0,2021-06-14T13:30:00
108,HLBU3427259,HLCU,CNNGB,,,USNYC,,,2021-06-30T21:30:00,,Vessel arrival,1.0,2021-06-30T21:30:00
109,HLBU8046574,HLCU,CNNGB,,,CAVAN,,,2021-06-19T01:00:00,,Vessel arrival,1.0,2021-06-19T01:00:00
110,UACU5710471,HLCU,INNSA,,,USNYC,,,2021-06-17T19:00:00,,Empty container pick-up,1.0,2021-06-17T19:00:00
111,DRYU9153240,HLCU,CNNGB,,,CAVAN,,,2021-06-19T01:00:00,,Unclassified,1.0,2021-06-19T01:00:00
112,TCLU4155523,HLCU,INMUN,2021-05-13T15:00:00+05:30,,USNYC,2021-06-02T19:00:00-05:00,,2021-05-27T10:32:36.524995-05:00,,Vessel arrival,1.0,2021-06-04T19:00:00
113,TDRU6822125,HLCU,INMUN,2021-05-13T15:00:00+05:30,,USNYC,2021-06-02T19:00:00-05:00,,2021-05-27T10:32:36.524995-05:00,,Vessel arrival,1.0,2021-06-04T19:00:00
114,KKFU7528847,ONEY,CNSHG,2021-05-16T04:00:00+08:00,2021-05-16T04:00:00+08:00,USNYC,2021-06-14T10:30:00-05:00,,2021-06-15T05:41:31.745484-05:00,,Vessel departure,1.0,2021-06-14T15:00:00
115,DFSU7413648,HLCU,VNVUT,,,CAVAN,,,2021-06-30T16:00:00,,Unclassified,1.0,2021-06-30T16:00:00
116,FANU1183495,HLCU,CNQDG,2021-05-11T10:00:00+08:00,2021-05-10T21:42:00+08:00,USNYC,2021-06-17T21:00:00-05:00,,2021-06-16T19:51:38.962618-05:00,,Unclassified,1.0,2021-06-14T13:30:00
117,HLBU1475371,HLCU,VNVUT,2021-05-19T00:01:00+07:00,,CAVAN,2021-06-20T16:00:00-07:00,,2021-06-24T01:00:00,,Vessel arrival,1.0,2021-06-24T01:00:00
118,FANU1503731,HLCU,CNNGB,,,CAVAN,,,2021-06-19T01:00:00,,Vessel arrival,1.0,2021-06-19T01:00:00
119,KOCU4264754,HDMU,VNVUT,2021-06-01T08:00:00+07:00,,USSAV,,,2021-07-03T19:00:00,,Unclassified,1.0,2021-07-03T19:00:00
120,TCNU7315746,HDMU,VNVUT,2021-06-01T08:00:00+07:00,,USSAV,,,2021-07-03T19:00:00,,Unclassified,1.0,2021-07-03T19:00:00
121,TCKU6662031,CMDU,INMUN,2021-05-27T04:00:00+05:30,2021-05-29T00:48:20.440000+05:30,USORF,2021-06-19T18:00:00-05:00,,2021-06-20T05:42:18.409477-05:00,,Unload from vessel,1.0,2021-06-19T18:00:00
122,TCLU4126417,HLCU,MYTPP,2021-05-09T06:00:00+08:00,2021-05-12T03:48:00+08:00,USNYC,2021-06-16T17:00:00-05:00,,2021-06-24T00:01:00,,Vessel arrival,2.0,2021-06-24T00:01:00
123,TCKU4804667,ONEY,VNCMT,2021-05-29T10:25:00+07:00,2021-05-29T10:25:00+07:00,USNYC,2021-06-24T18:30:00-05:00,,2021-06-26T02:19:22.265642-05:00,,Vessel departure,1.0,2021-06-25T00:30:00
124,HMMU6322616,HDMU,VNVUT,2021-06-01T08:00:00+07:00,,USSAV,,,2021-07-03T19:00:00,,Unclassified,1.0,2021-07-03T19:00:00
125,KOCU2223648,HDMU,CNNGB,,,USORF,,,2021-06-30T16:00:00,,Vessel arrival,1.0,2021-06-30T16:00:00
126,CMAU6876206,CMDU,CNSHG,,,USSAV,,,2021-06-21T01:00:00,,Unload from vessel,1.0,2021-06-21T01:00:00
127,CMAU6873629,CMDU,CNSHG,,,USSAV,,,2021-06-21T01:00:00,,Unload from vessel,1.0,2021-06-21T01:00:00
128,BMOU5545448,MSCU,MYTPP,,,USLGB,,,2021-06-15T00:00:00,,Vessel arrival,1.0,2021-06-15T00:00:00
129,KOCU4783030,HDMU,CNYTN,,,USSAV,,,2021-06-18T08:00:00,,Unclassified,1.0,2021-06-18T08:00:00
130,BMOU5875732,MSCU,MYTPP,,,USLGB,,,2021-06-15T00:00:00,,Vessel arrival,1.0,2021-06-15T00:00:00
131,MRKU3228343,MAEU,CNSHG,2021-06-07T00:01:00+08:00,,USLAX,2021-06-19T14:00:00-08:00,,2021-06-19T14:00:00-08:00,,Gate out,1.0,2021-06-19T14:00:00
132,HMMU9020749,HDMU,CNYTN,,,USSAV,,,2021-06-18T08:00:00,,Unclassified,1.0,2021-06-18T08:00:00
133,CMAU6877959,CMDU,CNSHG,,,USSAV,,,2021-06-21T01:00:00,,Unload from vessel,1.0,2021-06-21T01:00:00
134,FFAU1577010,MSCU,MYTPP,,,USLGB,,,2021-06-15T00:00:00,,Vessel arrival,1.0,2021-06-15T00:00:00
135,HMMU6471585,HDMU,CNNGB,,,USORF,,,2021-06-30T16:00:00,,Vessel arrival,1.0,2021-06-30T16:00:00
136,FFAU2819361,OOLU,CNFOC,,,USNYC,,,2021-07-02T13:00:00,,Vessel arrival,1.0,2021-07-02T13:00:00
137,TLLU4778096,COSU,CNSHG,,,USSAV,,,2021-06-21T07:00:00,,Vessel arrival,1.0,2021-06-21T07:00:00
138,TEMU8005766,ONEY,CNSHG,2021-05-28T13:00:00+08:00,2021-05-28T13:00:00+08:00,USNYC,2021-06-27T13:30:00-05:00,,2021-06-27T08:30:43.252343-05:00,,Vessel departure,1.0,2021-06-27T19:30:00
139,TRHU7136683,COSU,,,,,,,,,,,
140,CMAU6873172,CMDU,CNSHG,,,USSAV,,,2021-06-21T01:00:00,,Unload from vessel,1.0,2021-06-21T01:00:00
141,TGBU6163736,HDMU,CNNGB,,,USORF,,,2021-06-30T16:00:00,,Vessel arrival,1.0,2021-06-30T16:00:00
142,KOCU4463313,HDMU,CNYTN,,,USSAV,,,2021-06-18T08:00:00,,Unclassified,1.0,2021-06-18T08:00:00
143,FANU1521205,HLCU,CNYTN,,,CAVAN,2021-06-20T16:00:00-07:00,,2021-06-24T01:00:00,,Unclassified,1.0,2021-06-24T01:00:00
144,CCLU4628445,COSU,,,,,,,,,,,
145,CMAU6877753,CMDU,CNSHG,,,USSAV,,,2021-06-21T01:00:00,,Unload from vessel,1.0,2021-06-21T01:00:00
